Date,Time,Bank Name,Account Number,Sender,Receiver,Payment ID/Reference Number,Pay/Collect,Amount (in Rs.),DR/CR,Status
01/01/2026,14:01:43,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),kfc@okaxis(KFC),665745474823,PAY,1889.37,DR,SUCCESS
01/01/2026,04:39:26,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),rent@okicici(RENT PAYMENT),754260844364,PAY,1253.03,DR,SUCCESS
01/01/2026,13:59:22,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),laxmisnacks@paytm(LAXMI SNACKS),347736242944,PAY,455.86,DR,SUCCESS
01/01/2026,01:19:05,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),hotstar@hdfc(DISNEY HOTSTAR),651864599224,PAY,1054.96,DR,SUCCESS
01/01/2026,05:25:21,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),flipkart@okaxis(FLIPKART),176687548093,PAY,7487.87,DR,SUCCESS
01/01/2026,04:03:29,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),myntra@upi(MYNTRA),136701706483,PAY,7918.88,DR,SUCCESS
01/01/2026,15:56:56,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),spotify@paytm(SPOTIFY),277236137714,PAY,1093.3,DR,SUCCESS
01/01/2026,16:04:38,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),uber@upi(UBER),493577579339,PAY,301.92,DR,SUCCESS
01/01/2026,18:58:41,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),amazon@apl(AMAZON),570693179423,PAY,3764.32,DR,SUCCESS
01/01/2026,04:23:38,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),modernprovisions@paytm(MODERN PROVISIONS),760583947520,PAY,954.57,DR,SUCCESS
01/01/2026,11:04:46,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),reliance@hdfc(RELIANCE FRESH),917355194300,PAY,1676.74,DR,SUCCESS
01/01/2026,14:27:48,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),cityauto@upi(CITY AUTO),717636394114,PAY,533.82,DR,SUCCESS
01/01/2026,10:47:29,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),prime@okaxis(PRIME VIDEO),747598627561,PAY,1718.2,DR,SUCCESS
01/01/2026,12:27:53,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),bms@upi(BOOKMYSHOW),718790983409,PAY,1707.07,DR,SUCCESS
01/01/2026,14:41:07,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),bb@upi(BIGBASKET),208655818589,PAY,735.13,DR,SUCCESS
01/01/2026,08:15:31,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),hm@upi(H&M),707225889853,PAY,7230.62,DR,SUCCESS
01/01/2026,01:30:54,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),netflix@upi(NETFLIX),597187297566,PAY,1761.49,DR,SUCCESS
01/01/2026,17:37:55,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),flipkart@okaxis(FLIPKART),494471655883,PAY,5233.15,DR,SUCCESS
01/01/2026,02:47:28,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),amazon@apl(AMAZON),733522295371,PAY,3655.3,DR,SUCCESS
01/01/2026,05:20:17,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),prime@okaxis(PRIME VIDEO),298477710612,PAY,799.51,DR,SUCCESS
01/01/2026,21:49:48,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),mmt@upi(MAKEMYTRIP),468603575064,PAY,1349.74,DR,SUCCESS
01/01/2026,11:19:43,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),wifi@paytm(BROADBAND BILL),559789168599,PAY,1981.63,DR,SUCCESS
01/01/2026,04:59:22,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),irani@okaxis(IRANI CAFE),591334148839,PAY,1172.32,DR,SUCCESS
01/01/2026,18:26:17,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),myntra@upi(MYNTRA),729089352661,PAY,2756.98,DR,SUCCESS
01/01/2026,04:17:05,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),metrocabs@upi(METRO CABS),480016249942,PAY,718.26,DR,SUCCESS
01/01/2026,23:23:11,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),zepto@ybl(ZEPTO),463453142928,PAY,3224.52,DR,SUCCESS
